2026-08-30, 13:45:14, 88000000, 90500000, 156250.00, 5632, 0.65, 2.97, 7.51, 21.89, 13.36, 5.47, 2.95, 2.43, 2.33, 2.33, -0.22, 5.19, -1.28, -0.91, -0.93, -0.77, -0.77
2026-08-30, 13:45:14, 90500000, 93000000, 156250.00, 5632, -10.57, -9.14, -6.90, -5.74, -3.82, -2.25, -3.67, -4.86, -5.32, -5.32, -5.37, -4.38, -2.70, -3.90, -5.91, -8.54, -8.54
2026-08-30, 13:45:14, 93000000, 95500000, 156250.00, 5632, -9.54, -7.98, -6.08, -4.47, -3.97, -4.73, -4.73, -4.23, -2.82, -2.82, -1.13, -1.04, -3.29, -4.36, -5.13, -7.29, -7.29
2026-08-30, 13:45:14, 95500000, 98000000, 156250.00, 5632, -6.55, -5.72, -3.62, -0.48, 7.70, -1.50, -3.00, -2.44, -0.80, -0.80, -2.46, -2.81, -2.46, -3.00, -3.52, -4.63, -4.63
2026-08-30, 13:45:14, 98000000, 100500000, 156250.00, 5632, -4.66, -2.79, -2.76, -2.54, -2.13, -2.40, -2.38, -2.14, -1.93, -1.93, -1.96, -2.26, -1.77, -0.54, -1.01, -3.83, -3.83
2026-08-30, 13:45:14, 100500000, 103000000, 156250.00, 5632, -0.84, 3.31, 2.77, 1.93, 1.37, 4.50, 12.00, 10.86, 2.94, 2.94, 2.98, 3.59, 7.81, 16.10, 5.18, 0.45, 0.45
2026-08-30, 13:45:14, 103000000, 105500000, 156250.00, 5632, 12.30, 10.45, 10.87, 11.06, 10.58, 10.78, 13.93, 22.18, 11.51, 11.51, 13.88, 13.13, 11.12, 10.24, 10.71, 11.78, 11.78
2026-08-30, 13:45:14, 105500000, 108000000, 156250.00, 5632, -0.16, 0.98, 3.93, 2.33, 4.36, 4.76, 5.59, 4.05, 4.88, 4.88, 5.85, 14.45, 14.80, 5.82, 2.90, 1.10, 1.10
2026-08-30, 13:45:18, 88000000, 90500000, 156250.00, 7168, 1.08, 3.33, 7.88, 21.57, 14.73, 6.22, 3.32, 2.60, 2.32, 2.32, 0.22, 5.19, -0.91, -0.57, -0.60, -0.45, -0.45
2026-08-30, 13:45:18, 90500000, 93000000, 156250.00, 7168, -10.69, -9.42, -7.10, -6.01, -4.80, -3.06, -2.99, -4.25, -5.43, -5.43, -5.48, -5.11, -3.34, -3.29, -5.51, -8.75, -8.75
2026-08-30, 13:45:18, 93000000, 95500000, 156250.00, 7168, -9.71, -8.06, -6.27, -4.75, -4.19, -4.83, -5.05, -4.50, -3.23, -3.23, -1.48, -1.07, -3.26, -4.36, -5.25, -7.37, -7.37
2026-08-30, 13:45:18, 95500000, 98000000, 156250.00, 7168, -6.59, -6.04, -3.72, -1.08, 7.72, -1.59, -3.30, -2.88, -0.84, -0.84, -2.18, -2.90, -2.49, -3.16, -3.85, -5.30, -5.30
2026-08-30, 13:45:18, 98000000, 100500000, 156250.00, 7168, -4.84, -2.64, -2.84, -2.60, -2.27, -2.52, -2.50, -2.37, -1.95, -1.95, -2.21, -2.57, -2.21, -1.03, -1.26, -3.66, -3.66
2026-08-30, 13:45:18, 100500000, 103000000, 156250.00, 7168, -0.95, 3.39, 2.51, 1.68, 1.17, 4.47, 11.90, 10.68, 3.02, 3.02, 2.77, 3.43, 7.63, 16.02, 5.10, 0.41, 0.41
2026-08-30, 13:45:18, 103000000, 105500000, 156250.00, 7168, 12.38, 10.45, 10.84, 11.06, 10.53, 10.67, 14.02, 22.24, 11.71, 11.71, 14.11, 13.29, 11.14, 10.15, 10.77, 12.06, 12.06
2026-08-30, 13:45:18, 105500000, 108000000, 156250.00, 7168, -0.18, 0.91, 3.69, 2.28, 4.48, 4.65, 5.42, 4.18, 4.90, 4.90, 5.94, 14.04, 14.69, 6.09, 3.02, 1.24, 1.24
